Gilbert Chesterton;Der beste Weg etwas zu lieben: Realisieren, dass man es verlieren kann.
Winston Churchill;Persönlich bin ich immer bereit zu lernen, obwohl ich nicht immer belehrt werden möchte.
Winston Churchill;Es ist sinnlos zu sagen: Wir tun unser Bestes. Es muss dir gelingen, das zu tun, was erforderlich ist.
Winston Churchill;Mit bösen Worten, die man ungesagt hinunterschluckt, hat sich noch niemand den Magen verdorben.
Winston Churchill;Mit dem Geist ist es wie mit dem Magen: Man kann ihm nur Dinge zumuten, die er verdauen kann.
Winston Churchill;Man löst keine Probleme, indem man sie auf Eis legt.
Winston Churchill;Demokratie ist die Notwendigkeit, sich gelegentlich den Ansichten anderer Leute zu beugen.
Winston Churchill;Es gibt drei Sorten von Menschen: solche, die sich zu Tode sorgen, solche die sich zu Tode arbeiten, und solche die sich zu Tode langweilen.
Winston Churchill;Ein leidenschaftlicher Raucher, der immer von der Gefahr des Rauchens für die Gesundheit liest, hört in den meisten Fällen auf - zu lesen.
Winston Churchill;Man soll dem Leib etwas Gutes bieten, damit die Seele Lust hat, darin zu wohnen.
Winston Churchill;Eine gute Rede ist eine Ansprache, die das Thema erschöpft, aber keineswegs die Zuhörer.
Winston Churchill;Wenn es morgens um sechs Uhr an meiner Tür läutet und ich kann sicher sein, dass es der Milchmann ist, dann weiß ich, dass ich in einer Demokratie lebe.
Winston Churchill;Aufschub ist die tödlichste Form der Ablehnung.
Winston Churchill;Die alten Wörter sind die besten und die kurzen die allerbesten.
Winston Churchill;Die Freiheit der Rede hat den Nachteil, dass immer wieder Dummes, Hässliches und Bösartiges gesagt wird. Wenn wir aber alles in allem nehmen, sind wir doch eher bereit, uns damit abzufinden, als sie abzuschaffen.
Winston Churchill;Krieg ist ein Spiel, bei dem man lächelt. Wenn man nicht lächeln kann, sollte man grinsen. Wenn man nicht grinsen kann, sollte man sich für eine Zeit nicht blicken lassen.
Winston Churchill;Die Demokratie ist die schlechteste aller Staatsformen, ausgenommen alle anderen.
Winston Churchill;Dem Kapitalismus wohnt ein Laster inne: Die Verteilung der Güter. Dem Sozialismus hingegen wohnt eine Tugend inne: Die gleichmäßige Verteilung des Elends.
Winston Churchill;Wenn man Zehntausend Vorschriften erlässt, vernichtet man jede Achtung für das Gesetz.
Winston Churchill;Eine Gemeinde kann ihr Geld nicht besser anlegen, als indem sie Geld in Babies steckt.
Winston Churchill;No Sports.
